Feedback,Course organization and structure,Pace,Workload,Student engagement and participation,Clarity of explanations,Effectiveness of assignments,Classroom atmosphere,Instructor's communication and availability,Inclusivity and sense of belonging,Assessment,Grading and feedback,Learning resources and materials,None of the above / Other
"Very excellent professor and lecturer. The environment he fosters for his students is impeccable, and his dedication towards his students shines.",,,,,,,✓,,,,,,
Very good at lecturing and very good at giving extra materials to study. Tests and homework were very fair and tested what we learned in class. One of the best professors I have had at ucla in 5 quarters.,,,,,✓,✓,,,,✓,,✓,
Best professor ever,,,,,,,,,,,,,✓
Professor Wu is extremely understanding and caring about his students needs. During the fires he was the only professor of mine to offer accommodations to those struggling. Not only is he extremely kind but he is a very good lecturer as well. His lectures are well structured and extremely organized. His tests are not too difficult if you have studied and they're super straightforward and don't stray from course material.,✓,,,,✓,,,,✓,✓,,,
"Professor Wu was very organized with his lecture notes and always posted materials online, which were very helpful. His review sessions prior to midterms were also very helpful and definitely contributed to my success in the class.",✓,,,,,,,,,,,✓,
"Professor Wu is very good at explaining math concepts, but he doesn't always explain the conceptual side of things very well. I think that he could focus a bit more on explaining the conceptual aspects of the class. However, I still think that he is a good professor and he did improve slightly on that note after feedback from Midterm 1.",,,,,✓,,,,,,,,
"Very organized, very manageable workload and difficulty, extremely helpful resources and practice problems for studying, lectures moved a little fast at times but not too bad, very conducive to learning overall",✓,✓,✓,,,,,,,,,✓,
"Strengths: speaks at a very engaging pace; answer's students questions with ease and is willing to break things down to make material more digestible; has fill–in notes that help me stay engaged
Weakness: first midterm I felt cramped for time; however, he listed to the class feedback and adjusted the second midterm to be more doable",,✓,,✓,,,,,,✓,,✓,
Great lecture style and posts notes and recordings which is very useful. Test prep is provided which I like. No complaints!,✓,,,,,,,,,✓,,✓,
Fair with his exams and an excellent lecturer,,,,,✓,,,,,✓,,,
"Professor Wu is one of the best professors I've had since coming to UCLA – I really like his teaching style and how much he cares for his students. I like how the lecture notes are structured, and that he offers both a blank and a filled–in version of the notes so that we can adjust our own learning. His lectures are consistently clear and paced well. I also feel that the course material makes sense in the way that it is taught. During lecture, Professor Wu also answers questions in a very clear way. His exams are also fair – not too challenging, but also not too easy, and also perfectly timed.
I also appreciate how he adjusted the class during the L.A. fires period. It was really nice of him!
Professor Wu is super nice and funny. It is really refreshing to be in his class – I learn a lot without feeling overwhelming pressure. If I could take a class again with him, I 1000% would.",✓,✓,,,✓,,✓,,✓,✓,,✓,
"Professor Wu is very organized and teaches in a way that was digestible, I hope my future teachers are like him because even though this class was tough, I was able to thrive due to his teaching techniques, organization, and the abundance of materials he gives us to learn, very good!",✓,,,,✓,,,,,,,✓,
Excellent communicator and very organized. Only weakness of this course is that it seems to do a lot of hand–waving over more complex concepts and doesn't go into some derivations.,✓,,,,✓,,,✓,,,,,
All the info needed to the exams were on his slides and given to us. I think the exams tested our knowledge adequately. I think the pace of his class was quick which made me overwhelmed at times,,✓,,,,,,,,✓,,,
"He was the best professor I have had so far, he takes the time to really help us grasp the topic while still keeping us at a good pace to finish the class. It definitely showed that he made an effort to help us understand the material, and takes constructive criticism into account.",,✓,,,✓,,✓,,,✓,,,
"I really enjoyed being in Professor Wu's class this quarter! I would highly recommend anyone to take him in the future. He gives clear explanations for topics and provides lots of examples. While the lectures do go by a little fast, he always makes sure to answer people's questions thoroughly. I also appreciate all of the resources he puts together for us students, including lots of practice problems along with the solutions so we can check our work. Overall, his efforts make it accessible and easier for students to practice applying the course content. He is also friendly and approachable.",,,,,✓,,✓,✓,,,,✓,
"Instructor E.C. Wu demonstrates several strengths in his teaching, including kindness, understanding, and a genuine care for his students. He is helpful and effective at explaining complex concepts, creating a supportive learning environment that encourages student engagement. The tests were sometimes hard to follow compared to the problem sets and worksheets, which could create confusion for students. However, he asked for constructive feedback and definitely improved.",,,,,✓,,✓,,,✓,,,
Professor Wu is great!,,,,,,,,,,,,,✓
"Professor Wu is a fantastic professor all around. He accounts for different learning styles and is very thorough in his lectures. Some may feel that the pace of his lecture is too quick, but honestly the course is so dense and has so much material and Professor Wu has done an excellent job answering all the right questions and emphasizing just the right areas, and made this class the smoothest it could've been.",✓,✓,,,✓,,,,✓,,,,
