Feedback,Course organization and structure,Pace and workload,Student engagement and participation,Clarity of explanations,Effectiveness of assignments,Classroom atmosphere and interaction,Instructor's communication and availability,Inclusivity and sense of belonging,"Assessment, grading, and feedback",Learning resources and materials,None of the above / Other
Professor Wu was so helpful and passionate.,,,✓,✓,,,,✓,,✓,
"Keep doing what you're doing, cause everyone loves it!",,,✓,✓,,,,✓,,,
I loved Eric Wu. He is such an enthusiastic professor.,,,✓,,,,,✓,,✓,
Professor Wu is truly an outstanding educator!,,,✓,✓,,,,✓,,✓,
Professor Wu goes above and beyond for students.,,,✓,,,,,✓,,,
"Overall, Professor Wu was an amazing instructor.",,,✓,✓,,,,✓,,,
Professor Wu is an amazing chemistry teacher!,,,✓,✓,,,,✓,,,
Eric Wu is the best lecturer I have ever had.,,,✓,,,,,,,,
"Very organized, and the class material is easy to understand.",,,✓,✓,,,,✓,,✓,
Prof Wu is an excellent lecturer and instructor.,,,✓,✓,,,,✓,,✓,
This instructor is fantastic and very organized.,,,✓,✓,,,,✓,,✓,
Dr. Wu genuinely cares about students' learning.,,,✓,,,,,,,,
Eric is a very knowledgeable professor.,,,✓,✓,,,,✓,,✓,
Professor Wu is a talented professor.,,,✓,,,,,✓,,✓,
Professor Wu is one of the best professors I've had at UCLA.,,,✓,,,,,✓,,,
Great at teaching the content and makes the learning very straightforward. Gives wonderful examples to help his students learn.,,,,✓,,,,,,,
Professor Wu understands how to teach an undergraduate course. Workloads are manageable and the class is well–taught.,,,,✓,,,,,,,
"Phenomenal professor, explains everything thoroughly in lectures and prepares perfect practice and review sessions.",,,,✓,,,,,,,
"Professor Eric was always prepared with clear lectures and notes, and provided us with various resources.",,,,✓,,,,,,,
"Instructor E.C. Wu demonstrates several strengths in his teaching, including kindness, understanding, and a genuine care for his students.",,,,,,,,✓,,,
"Professor Wu led an organized, well structured class with a lot of helpful resources.",,,,,,,,✓,,,
Dr. Wu genuinely cares for his students and wants us to succeed.,,,,,,,,✓,,,
Some strengths include organization and being welcoming.,,,,,,,,✓,,,
I really like the notes for this course.,,,,,,,,✓,,✓,
Eric is the most wonderful professor I have had at UCLA so far.,,,,,,,,✓,,,
Great lecture style and posts notes and recordings which is very useful. Test prep is provided which I like. No complaints!,,,,,,,,,,✓,
Dr. Wu hosts helpful review sessions and makes lectures entertaining.,,,,,,,,,,✓,
Excellent Professor. Such a shame he isn't teaching OChem next quarter,,,,,,,,,,,✓
"Great professor, the only thing was that the lectures were very fast. Sometimes it made it hard to follow along. I think a good solution would be to do less examples, and spend more times on the ones that we do in lecture.",,,,,,,,,,,✓
"One of Wu's greatest strengths is his lecture–filled notes. If we are already familiar with the course material, we can just follow the lecture with the notes without having to write down anything. It is also a great tool for reviewing before, say, a midterm or the final exam. Another great strength of his is his coffee hours that he has with students after class. It's nice to get to know your teacher personally and establish a great connection. His final strength is the review sessions he has before midterms. They are well–organized and go over a good chunk of the material. The only weakness I can think of with Wu is how fast he goes during his lectures.",,,,,,,,,,,✓
Very good at lecturing and very good at giving extra materials to study. Tests and homework were very fair and tested what we learned in class. One of the best professors I have had at UCLA in 5 quarters.,,,,,,,,,,,✓
Professor Wu is extremely understanding and caring about his students needs. During the fires he was the only professor of mine to offer accommodations to those struggling. Not only is he extremely kind but he is a very good lecturer as well.,,,,,,,,,,,✓
"Professor Wu was very organized with his lecture notes and always posted materials online, which were very helpful. His review sessions prior to midterms were also very helpful and definitely contributed to my success in the class.",,,,,,,,,,,✓
"Professor Wu is very good at explaining math concepts, but he doesn't always explain the conceptual side of things very well. I think that he could focus a bit more on explaining the conceptual aspects of the class.",,,,,,,,,,,✓
"Professor Wu is one of the best professors I've had since coming to UCLA. I really like his teaching style and how much he cares for his students. His lectures are consistently clear and paced well. His exams are fair – not too challenging, but also not too easy.",,,,,,,,,,,✓
"Professor Wu is very organized and teaches in a way that was digestible. I hope my future teachers are like him because even though this class was tough, I was able to thrive due to his teaching techniques.",,,,,,,,,,,✓
Excellent communicator and very organized. Only weakness of this course is that it seems to do a lot of hand–waving over more complex concepts.,,,,,,,,,,,✓
All the info needed for exams were on his slides and given to us. I think the exams tested our knowledge adequately. I think the pace of his class was quick which made me overwhelmed at times.,,,,,,,,,,,✓
He was the best professor I have had so far. He takes the time to really help us grasp the topic while still keeping us at a good pace to finish the class.,,,,,,,,,,,✓
I really enjoyed being in Professor Wu's class this quarter! I would highly recommend anyone to take him in the future. He gives clear explanations for topics and provides lots of examples.,,,,,,,,,,,✓
Professor Wu is a fantastic professor all around. He accounts for different learning styles and is very thorough in his lectures.,,,,,,,,,,,✓
"I was already quite knowledgeable about the course material before taking this course, but I still found professor Wu to be an incredibly dedicated and knowledgeable professor.",,,,,,,,,,,✓
Dr. Wu is very organized and his lectures reflect his test and quizzes.,,,,,,,,,,,✓
"Wu is very explanatory and in depth with the material. However, material is very advanced for those without a background in chemistry.",,,,,,,,,,,✓
"Great lecturer and note taker, though tends to talk too quickly.",,,,,,,,,,,✓
He was an amazing professor who provided us with so much resources and truly wanted us to succeed.,,,,,,,,,,,✓
Chemistry 20B can be challenging at times but Professor Wu was probably the best person for the job.,,,,,,,,,,,✓
I think that Dr. Wu was an excellent professor and one of the best professors I have had so far.,,,,,,,,,,,✓
Eric Wu is the best professor I have had so far at UCLA.,,,,,,,,,,,✓
Excellent course. Only criticism is lectures move very quickly.,,,,,,,,,,,✓
"He has no weaknesses, his main strength is the way he can teach.",,,,,,,,,,,✓
I like his teaching and the problem set problems are effective in teaching me the material.,,,,,,,,,,,✓
"Professor Wu was an excellent teacher. He explained topics well, and I really appreciate that he recorded the lectures.",,,,,,,,,,,✓
Eric Wu is my goat.,,,,,,,,,,,✓
"Chemistry is difficult and a lot to digest, but Professor Wu made it extremely manageable.",,,,,,,,,,,✓
I think Dr. Wu is always very helpful. He is really good at explaining topics in a way that is easy to understand.,,,,,,,,,,,✓
Dr. Wu showed a lot of concern for the students and was always making sure to answer any confusion.,,,,,,,,,,,✓
Eric Wu does a very good job of lecturing and making sure we understand the concepts.,,,,,,,,,,,✓
Professor Wu was very organized in his lecture notes and very good at breaking down complicated concepts.,,,,,,,,,,,✓
Strengths: simplifying course material. Weakness: fast pacing.,,,,,,,,,,,✓
He is a great lecturer but his midterms are too long for 50 minutes.,,,,,,,,,,,✓
Professor Wu knows what he's teaching and can be understood by many.,,,,,,,,,,,✓
Eric helped to make Chemistry approachable.,,,,,,,,,,,✓
Professor Wu is extremely organized and adapts based on feedback.,,,,,,,,,,,✓
Prof Wu is the GOAT.,,,,,,,,,,,✓
