Feedback,Course organization and structure,Pace and workload,Student engagement and participation,Clarity of explanations,Effectiveness of assignments,Classroom atmosphere and interaction,Instructor's communication and availability,Inclusivity and sense of belonging,"Assessment, grading, and feedback",Learning resources and materials,None of the above / Other
Great lecture style and posts notes and recordings which is very useful. Test prep is provided which I like. No complaints!,✓,,,,,,,,,✓,
"Professor Wu is one of the best professors I've had since coming to UCLA. I really like his teaching style and how much he cares for his students. His lectures are consistently clear and paced well. His exams are fair – not too challenging, but also not too easy.",✓,✓,,✓,,,,,✓,,
"Professor Wu is very organized and teaches in a way that was digestible. I hope my future teachers are like him because even though this class was tough, I was able to thrive due to his teaching techniques.",✓,,,✓,,,,,,,
Excellent communicator and very organized. Only weakness of this course is that it seems to do a lot of hand–waving over more complex concepts.,✓,,,✓,,,,,,,
All the info needed for exams were on his slides and given to us. I think the exams tested our knowledge adequately. I think the pace of his class was quick which made me overwhelmed at times.,✓,✓,,,,,,,✓,,
He was the best professor I have had so far. He takes the time to really help us grasp the topic while still keeping us at a good pace to finish the class.,✓,✓,✓,✓,,,,,,,
"He's awesome, does lecture in a clear and concise way, explains what we need to know before exams, class is organized.",✓,,,✓,,,,,,,
"Professor Wu led an organized, well structured class with a lot of helpful resources.",✓,,,,,,,,,✓,
Dr. Wu is very organized and his lectures reflect his test and quizzes.,✓,,,✓,,,,,,,
Eric is an excellent professor. From his lectures to his homework to his tests he is very organized and very communicative.,✓,,,,,,✓,,,,
Professor Wu is extremely organized and explains concepts very clearly. He truly wants to help students succeed.,✓,,,✓,,,,,,,
Excellent course. Only criticism is lectures move very quickly.,✓,✓,,,,,,,,,
Professor Wu understands how to teach an undergraduate course. Workloads are manageable and the class is well–taught.,✓,✓,,✓,,,,,,,
"Professor Eric was always prepared with clear lectures and notes, and provided us with various resources.",✓,,,✓,,,,,,✓,
"Professor Wu was an excellent teacher. He explained topics well, and I really appreciate that he recorded the lectures.",✓,,,✓,,,,,,,
Dr. Wu was amazing! Great lecturer who is very well organized and clearly cares about his students.,✓,,,✓,,,,,,,
Professor Wu is an amazing professor! His lectures are super organized and he gives students notetakers as a guide.,✓,,,,,,,,,✓,
"Very organized, clear and concise.",✓,,,✓,,,,,,,
Professor Wu was very organized in his lecture notes and very good at breaking down complicated concepts.,✓,,,✓,,,,,,,
Strengths: simplifying course material. Weakness: fast pacing.,✓,✓,,,,,,,,,
"Everything helped me learn, and no time was wasted.",✓,✓,,,,,,,,,
Very organized and great communication.,✓,,,,,,✓,,,,
Some strengths include organization and being welcoming.,✓,,,,,,,✓,,,
Professor Wu is extremely organized and clear as a lecturer.,✓,,,✓,,,,,,,
"Wu is very explanatory and in depth with the material. However, material is very advanced for those without a background in chemistry.",,✓,,✓,,,,,,,
"Great lecturer and note taker, though tends to talk too quickly.",,✓,,✓,,,,,,,
"Chemistry is difficult and a lot to digest, but Professor Wu made it extremely manageable.",,✓,,,,,,✓,,,
He is a great lecturer but his midterms are too long for 50 minutes.,,✓,,,,,,,✓,,
I really enjoyed being in Professor Wu's class this quarter! I would highly recommend anyone to take him in the future. He gives clear explanations for topics and provides lots of examples.,,,✓,✓,,,,,,,
Great at teaching the content and makes the learning very straightforward. Gives wonderful examples to help his students learn.,,,✓,✓,,,,,,,
His ability to explain concepts in a way that keeps students engaged.,,,✓,✓,,,,,,,
Eric Wu does a very good job of lecturing and making sure we understand the concepts.,,,✓,✓,,,,,,,
Dr. Wu hosts helpful review sessions and makes lectures entertaining.,,,✓,,,,,,,✓,
Good communicator and always engaged with students.,,,✓,,,,✓,,,,
"Eric explains concepts very clearly with an emphasis on intuition and he encourages students to understand the material rather than rely solely on rote memory. His enthusiasm for chemistry is contagious. He is extremely welcoming, knowledgeable, approachable, and responsive to questions, and he takes the time to make sure students understand what is going on.",,,,✓,,,✓,✓,,,
Fair with his exams and an excellent lecturer,,,,✓,,,,,✓,,
"Instructor E.C. Wu demonstrates several strengths in his teaching, including kindness, understanding, and a genuine care for his students.",,,,✓,,,,✓,,,
Professor Wu is a fantastic professor all around. He accounts for different learning styles and is very thorough in his lectures.,,,,✓,,,✓,,,,
"He has no weaknesses, his main strength is the way he can teach.",,,,✓,,,✓,,,,
"Phenomenal professor, explains everything thoroughly in lectures and prepares perfect practice and review sessions.",,,,✓,✓,,,,,,
I like his teaching and the problem set problems are effective in teaching me the material.,,,,✓,✓,,,,,,
I think Dr. Wu is always very helpful. He is really good at explaining topics in a way that is easy to understand.,,,,✓,,,✓,,,,
"He is one of the best professors I've had so far, his explanations are so clear.",,,,✓,,,,,,,✓
The professor clearly cares about student learning and provides plenty of helpful material.,,,,✓,,,,✓,,,
Professor Wu is thorough and complete in his teaching.,,,,✓,,,✓,,,,
This instructor was very caring and knowledgeable.,,,,✓,,,,✓,,,
Professor Wu knows what he's teaching and can be understood by many.,,,,✓,,,✓,,,,
Eric helped to make Chemistry approachable.,,,,✓,,,,✓,,,
Dr. Wu genuinely cares about students' learning.,,,,✓,,,,✓,,,
"Very excellent professor and lecturer. The environment he fosters for his students is impeccable, and his dedication towards his students shines.",,,,,,✓,,✓,,,
Professor Wu is extremely understanding and caring about his students needs. During the fires he was the only professor of mine to offer accommodations to those struggling. Not only is he extremely kind but he is a very good lecturer as well.,,,,,,,✓,✓,,,
"I was already quite knowledgeable about the course material before taking this course, but I still found professor Wu to be an incredibly dedicated and knowledgeable professor.",,,,,,,✓,,,,✓
Professor Wu was very good about making students feel welcome and he made himself very approachable.,,,,,,,✓,✓,,,
He was an amazing professor who provided us with so much resources and truly wanted us to succeed.,,,,,,,✓,,,✓,
Chemistry 20B can be challenging at times but Professor Wu was probably the best person for the job.,,,,,,,✓,,,,✓
Professor Wu is very approachable and seems to care about his students.,,,,,,,✓,✓,,,
Dr. Wu showed a lot of concern for the students and was always making sure to answer any confusion.,,,,,,,✓,✓,,,
Eric Wu cares about his students and provides ample support and resources.,,,,,,,✓,✓,,,
"Instructor was communicative, approachable, and very concerned with student success.",,,,,,,✓,✓,,,
Professor Wu is energetic and capable.,,,,,,,✓,,,,✓
Professor Wu was so helpful and passionate.,,,,,,,✓,,,,✓
Professor Wu goes above and beyond for students.,,,,,,,✓,✓,,,
Prof Wu is an excellent lecturer and instructor.,,,,,,,✓,,,,✓
Dr. Wu genuinely cares for his students and wants us to succeed.,,,,,,,,✓,,,
Eric is such a nice and empathetic person.,,,,,,,,✓,,,✓
I really like the notes for this course.,,,,,,,,,,✓,
Excellent Professor. Such a shame he isn't teaching OChem next quarter,,,,,,,,,,,✓
Incredible teacher that was fair and taught me a lot!,,,,,,,,,,,✓
Best professor ever,,,,,,,,,,,✓
Professor Wu is great!,,,,,,,,,,,✓
I think that Dr. Wu was an excellent professor and one of the best professors I have had so far.,,,,,,,,,,,✓
Eric Wu is the best professor I have had so far at UCLA.,,,,,,,,,,,✓
Eric Wu is my goat.,,,,,,,,,,,✓
Professor Wu is an amazing professor who cares deeply about his students.,,,,,,,,,,,✓
"Great job, I love this class!",,,,,,,,,,,✓
Professor Wu is extremely organized and adapts based on feedback.,,,,,,,,,,,✓
Prof Wu is the GOAT.,,,,,,,,,,,✓
Eric Wu is one of the nicest professors I have ever had.,,,,,,,,,,,✓
Very good professor and very interesting.,,,,,,,,,,,✓
"Keep doing what you're doing, cause everyone loves it!",,,,,,,,,,,✓
I loved Eric Wu. He is such an enthusiastic professor.,,,,,,,,,,,✓
Professor Wu is truly an outstanding educator!,,,,,,,,,,,✓
"Overall, Professor Wu was an amazing instructor.",,,,,,,,,,,✓
Professor Wu is an amazing chemistry teacher!,,,,,,,,,,,✓
Super great lecturer!,,,,,,,,,,,✓
Eric Wu is the best lecturer I have ever had.,,,,,,,,,,,✓
"Very organized, and the class material is easy to understand.",,,,,,,,,,,✓
This instructor is fantastic and very organized.,,,,,,,,,,,✓
Eric is a very knowledgeable professor.,,,,,,,,,,,✓
Professor Wu is a talented professor.,,,,,,,,,,,✓
Professor Wu is one of the best professors I've had at UCLA.,,,,,,,,,,,✓
Eric is the most wonderful professor I have had at UCLA so far.,,,,,,,,,,,✓
